E=256 K=6144 N=256 topk=8 skew=0.0  (us na warstwe, CUDA graph replay)
    M  routed  B12X static  CUTLASS(+quant)  CUTLASS gemm
    1       8         14.5             65.3          63.8
    2      16         39.0             73.0          71.8
    4      32         65.7             89.7          88.2
    6      48        100.8            102.9         101.8
   12      96        194.0            211.0         209.2
   24     192        323.2            334.9         326.7
   48     384        489.7            447.3         447.0
   80     640        550.9            533.3         541.5
   96     768          nan            669.6         735.9
  192    1536          nan            665.5         669.0
 2048   16384          nan            915.0         999.1
E=256 K=6144 N=256 topk=8 skew=1.0  (us na warstwe, CUDA graph replay)
    M  routed  B12X static  CUTLASS(+quant)  CUTLASS gemm
    6      48         96.3             95.4          94.5
   12      96        143.5            162.0         161.3
   24     192        280.5            227.1         225.8
   48     384        327.1            309.7         308.1
   80     640        411.3            391.7         390.1
E=256 K=6144 N=512 topk=8 skew=0.0  (us na warstwe, CUDA graph replay)
    M  routed  B12X static  CUTLASS(+quant)  CUTLASS gemm
    1       8         24.7             80.2          79.0
    2      16         86.4             85.4          84.6
    4      32        110.4            156.8         155.9
    6      48        236.9            199.7         198.7
   12      96        332.7            347.1         345.8
   24     192        585.3            545.0         550.8
   48     384        814.3            783.4        1283.4
   80     640        992.3            900.4        1457.0
   96     768          nan           1060.4        1341.4
  192    1536          nan           1272.7        1358.4
 2048   16384          nan           1427.9        2007.2
